dt,main,weather,clouds,wind,visibility,pop,sys,dt_txt,rain
1761404400,"{'temp': 11.32, 'feels_like': 10.62, 'temp_min': 11.32, 'temp_max': 11.32, 'pressure': 1018, 'sea_level': 1018, 'grnd_level': 965, 'humidity': 81, 'temp_kf': 0}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",{'all': 100},"{'speed': 4.34, 'deg': 162, 'gust': 6.08}",10000,0.0,{'pod': 'd'},2025-10-25 15:00:00,
1761415200,"{'temp': 15.83, 'feels_like': 15.14, 'temp_min': 15.83, 'temp_max': 15.83, 'pressure': 1016, 'sea_level': 1016, 'grnd_level': 964, 'humidity': 64, 'temp_kf': 0}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",{'all': 86},"{'speed': 5.09, 'deg': 166, 'gust': 6.03}",10000,0.0,{'pod': 'd'},2025-10-25 18:00:00,
1761426000,"{'temp': 17.78, 'feels_like': 17.1, 'temp_min': 17.78, 'temp_max': 17.78, 'pressure': 1014, 'sea_level': 1014, 'grnd_level': 962, 'humidity': 57, 'temp_kf': 0}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",{'all': 59},"{'speed': 5.61, 'deg': 149, 'gust': 6.4}",10000,0.0,{'pod': 'd'},2025-10-25 21:00:00,
1761436800,"{'temp': 14.3, 'feels_like': 13.64, 'temp_min': 14.3, 'temp_max': 14.3, 'pressure': 1015, 'sea_level': 1015, 'grnd_level': 963, 'humidity': 71, 'temp_kf': 0}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",{'all': 70},"{'speed': 5.08, 'deg': 149, 'gust': 8.2}",10000,0.0,{'pod': 'n'},2025-10-26 00:00:00,
1761447600,"{'temp': 12.28, 'feels_like': 11.73, 'temp_min': 12.28, 'temp_max': 12.28, 'pressure': 1016, 'sea_level': 1016, 'grnd_level': 963, 'humidity': 83, 'temp_kf': 0}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",{'all': 100},"{'speed': 4.98, 'deg': 143, 'gust': 9.33}",10000,0.0,{'pod': 'n'},2025-10-26 03:00:00,
1761458400,"{'temp': 11.94, 'feels_like': 11.49, 'temp_min': 11.94, 'temp_max': 11.94, 'pressure': 1015, 'sea_level': 1015, 'grnd_level': 963, 'humidity': 88, 'temp_kf': 0}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",{'all': 100},"{'speed': 4.77, 'deg': 146, 'gust': 9.83}",10000,0.0,{'pod': 'n'},2025-10-26 06:00:00,
1761469200,"{'temp': 10.99, 'feels_like': 10.42, 'temp_min': 10.99, 'temp_max': 10.99, 'pressure': 1015, 'sea_level': 1015, 'grnd_level': 963, 'humidity': 87, 'temp_kf': 0}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",{'all': 58},"{'speed': 4.88, 'deg': 142, 'gust': 10.38}",10000,0.0,{'pod': 'n'},2025-10-26 09:00:00,
1761480000,"{'temp': 8.44, 'feels_like': 5.91, 'temp_min': 8.44, 'temp_max': 8.44, 'pressure': 1016, 'sea_level': 1016, 'grnd_level': 963, 'humidity': 91, 'temp_kf': 0}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",{'all': 47},"{'speed': 4.36, 'deg': 130, 'gust': 10.9}",10000,0.0,{'pod': 'n'},2025-10-26 12:00:00,
1761490800,"{'temp': 10.69, 'feels_like': 9.56, 'temp_min': 10.69, 'temp_max': 10.69, 'pressure': 1016, 'sea_level': 1016, 'grnd_level': 963, 'humidity': 67, 'temp_kf': 0}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",{'all': 25},"{'speed': 5.99, 'deg': 135, 'gust': 11.01}",10000,0.0,{'pod': 'd'},2025-10-26 15:00:00,
1761501600,"{'temp': 11.98, 'feels_like': 11.01, 'temp_min': 11.98, 'temp_max': 11.98, 'pressure': 1015, 'sea_level': 1015, 'grnd_level': 963, 'humidity': 68, 'temp_kf': 0}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",{'all': 63},"{'speed': 6.28, 'deg': 146, 'gust': 9.77}",10000,0.0,{'pod': 'd'},2025-10-26 18:00:00,
